transaction_id,amount
TXN001,45.50
TXN002,120.00
TXN003,89.75
TXN004,200.00
TXN005,55.25
TXN006,310.00
TXN007,75.00
TXN008,95.50
TXN009,130.00
TXN010,60.00
TXN011,48.00
TXN012,175.00
TXN013,220.00
TXN014,85.00
TXN015,105.00
TXN016,9800.00
TXN017,65.00
TXN018,140.00
TXN019,78.50
TXN020,190.00
TXN021,52.00
TXN022,115.00
TXN023,11500.00
TXN024,88.00
TXN025,162.00
TXN026,73.00
TXN027,210.00
TXN028,99.00
TXN029,145.00
TXN030,67.50
TXN031,183.00
TXN032,57.00
TXN033,125.00
TXN034,8750.00
TXN035,92.00
TXN036,155.00
TXN037,70.00
TXN038,195.00
TXN039,82.00
TXN040,118.00
TXN041,47.00
TXN042,172.00
TXN043,63.00
TXN044,205.00
TXN045,15200.00
TXN046,96.00
TXN047,138.00
TXN048,77.00
TXN049,215.00
TXN050,53.00
